Attendance (%),Assignment Completion (%),Test Score (25%),Practical Score (25%),Exam Score (50%),Performance,Age,Gender,Marital Status,Children (if Married),Mother Education,Father Education,Guardian (Sponsor),Extracurricular Activities,Online Time (Daily),Family Relationship,Free Time Activities,Alcoholic Consumption,Religious Programs (Weekly),Computer/Laptop Access (for Practicals)
95,86,12,17,33,B,21,Female,Engaged,0,College,Bachelor's Degree,Uncle,No,3,Average,Watching TV,High,0,Yes
78,92,19,14,26,C,25,Male,Married,0,College,Doctorate,Father,No,9,Average,Socializing,Low,5,Yes
97,87,23,11,35,B,19,Male,Engaged,0,High School,Doctorate,Mother,Yes,5,Poor,Socializing,High,0,Yes
74,69,12,9,19,D,24,Male,Single,0,High School,Doctorate,Brother,No,3,Good,Sports,Moderate,4,Yes
62,74,10,17,19,D,21,Female,Single,0,College,College,Sister,No,9,Average,Sports,Low,1,No
85,81,25,17,38,A,18,Female,Married,2,Master's Degree,Doctorate,Brother,No,0,Good,Sports,High,7,No
83,77,22,23,14,C,25,Female,Married,2,Bachelor's Degree,Bachelor's Degree,Mother,No,3,Good,Sports,Moderate,4,No
85,84,13,14,35,B,18,Female,Engaged,0,Bachelor's Degree,High School,Father,No,2,Poor,Watching TV,High,0,Yes
62,65,15,16,16,D,22,Female,Married,1,Doctorate,High School,Brother,Yes,8,Good,Sports,Low,4,No
88,90,9,21,23,C,19,Male,Married,2,High School,Bachelor's Degree,Sister,No,9,Average,Socializing,Moderate,2,No
63,74,13,10,18,D,21,Male,Single,0,Bachelor's Degree,Bachelor's Degree,Aunty,No,5,Good,Socializing,Moderate,2,No
77,83,18,22,12,C,23,Female,Married,1,High School,College,Mother,No,6,Average,Sports,Moderate,1,No
92,91,14,9,46,B,19,Male,Engaged,0,High School,Master's Degree,Brother,No,1,Poor,Socializing,Moderate,2,Yes
83,82,25,8,34,B,25,Male,Married,2,Doctorate,High School,Sister,Yes,4,Average,Watching TV,High,5,Yes
67,65,10,8,18,E,19,Female,Engaged,0,High School,High School,Aunty,Yes,6,Poor,Watching TV,Moderate,6,No
75,74,13,16,12,D,21,Female,Married,0,High School,College,Sister,No,0,Average,Reading,Low,3,Yes
77,97,11,22,32,B,24,Male,Married,0,Master's Degree,Doctorate,Uncle,Yes,5,Good,Sports,Low,7,No
95,82,22,13,22,C,19,Female,Married,5,High School,College,Aunty,Yes,0,Average,Watching TV,Low,1,No
94,87,22,11,33,B,18,Male,Engaged,0,High School,Doctorate,Mother,Yes,8,Average,Socializing,Low,0,No
95,80,9,16,43,B,24,Male,Married,3,Doctorate,Bachelor's Degree,Father,No,5,Poor,Sports,Moderate,6,No
96,94,8,25,39,A,23,Male,Married,2,Master's Degree,Doctorate,Brother,No,1,Good,Reading,Low,3,Yes
86,84,20,8,35,B,22,Female,Married,1,High School,College,Sister,No,9,Poor,Reading,Moderate,5,Yes
81,97,10,15,49,A,19,Male,Single,0,College,High School,Brother,No,3,Poor,Reading,Moderate,4,Yes
83,92,20,22,29,A,19,Female,Single,0,High School,College,Sister,No,1,Good,Socializing,Moderate,2,No
85,76,24,9,20,C,22,Male,Single,0,Doctorate,Master's Degree,Father,Yes,1,Average,Sports,Low,7,No
91,81,9,14,38,B,23,Female,Engaged,0,High School,College,Aunty,Yes,9,Good,Sports,Moderate,2,No
81,81,13,21,24,C,18,Female,Engaged,0,High School,Bachelor's Degree,Father,No,1,Good,Watching TV,High,5,No
82,91,17,23,19,C,24,Female,Single,0,Bachelor's Degree,Bachelor's Degree,Sister,Yes,4,Average,Watching TV,Moderate,5,Yes
82,98,9,19,22,C,21,Female,Engaged,0,College,High School,Father,Yes,5,Average,Reading,High,0,No
90,90,14,25,14,C,19,Female,Single,0,Master's Degree,Master's Degree,Brother,Yes,5,Average,Watching TV,High,6,No
97,98,10,23,18,C,21,Male,Engaged,0,High School,Bachelor's Degree,Mother,No,0,Poor,Sports,Moderate,3,No
75,85,10,23,20,C,19,Male,Single,0,Bachelor's Degree,College,Mother,Yes,3,Poor,Socializing,Moderate,3,Yes
90,81,18,23,23,B,25,Male,Single,0,Master's Degree,Master's Degree,Aunty,Yes,5,Poor,Reading,High,0,Yes
79,87,25,16,36,A,23,Male,Single,0,Doctorate,College,Brother,Yes,1,Average,Reading,Low,1,No
89,92,15,12,32,C,22,Female,Single,0,Bachelor's Degree,Bachelor's Degree,Brother,No,8,Good,Socializing,Low,3,No
96,81,16,9,43,B,25,Female,Married,3,Master's Degree,College,Uncle,Yes,1,Average,Reading,High,3,No
97,78,8,14,29,C,23,Male,Married,0,Doctorate,High School,Brother,Yes,3,Poor,Reading,Moderate,0,No
86,83,12,13,37,B,25,Female,Married,1,Master's Degree,Bachelor's Degree,Sister,No,4,Poor,Sports,Moderate,1,No
90,81,19,24,18,B,25,Female,Married,1,Master's Degree,Master's Degree,Mother,Yes,9,Average,Reading,Moderate,0,Yes
64,63,10,9,12,E,19,Female,Engaged,0,High School,Master's Degree,Uncle,No,7,Average,Socializing,High,1,No
61,67,18,19,8,D,20,Male,Single,0,Bachelor's Degree,Doctorate,Mother,No,5,Poor,Sports,High,2,No
84,79,9,25,16,C,18,Male,Engaged,0,High School,College,Brother,Yes,1,Average,Watching TV,High,6,Yes
76,93,20,10,42,A,23,Male,Single,0,College,Doctorate,Father,Yes,2,Average,Sports,High,3,No
